POLICY_NUMBER,INSURANCE_TYPE,PREMIUM_AMOUNT,TENURE
PLC00004926,Life,79.17,50
PLC00001364,Health,112.52,118
PLC00009522,Life,73.59,13
PLC00004525,Property,155.62,99
PLC00008287,Mobile,9.78,103
PLC00007017,Mobile,6.72,91
PLC00009284,Mobile,11.11,76
PLC00000867,Motor,132.18,110
PLC00000708,Travel,76.94,10
PLC00007771,Motor,78.07,88
PLC00000759,Mobile,9.66,31
PLC00004276,Property,130.1,90
PLC00005677,Travel,50.37,111
PLC00009446,Travel,87.72,93
PLC00002493,Property,81.86,117
PLC00005494,Health,126.02,18
PLC00005911,Property,118.67,13
PLC00007313,Health,163.12,60
PLC00007874,Life,67.01,102
PLC00009029,Mobile,6.96,22
PLC00003445,Travel,70.81,81
PLC00004767,Mobile,9.91,14
PLC00009785,Property,128.71,50
PLC00000568,Health,185.15,20
PLC00004968,Travel,52.77,30
PLC00008632,Property,108.28,21
PLC00007570,Mobile,9.16,68
PLC00003831,Mobile,11.99,45
PLC00000003,Motor,95.31,21
PLC00001519,Property,128.13,11
PLC00008990,Motor,138.41,47
PLC00002729,Life,53.02,52
PLC00008878,Life,59.89,13
PLC00003640,Property,86.1,17
PLC00000679,Property,93.93,62
PLC00008298,Life,84.1,53
PLC00004981,Property,124.45,105
PLC00004121,Life,75.55,119
PLC00008801,Property,147.33,94
PLC00004950,Property,81.85,82
PLC00009144,Property,159.08,71
PLC00004904,Travel,71.14,12
PLC00008465,Travel,52.11,76
PLC00003690,Motor,116.14,100
PLC00005910,Property,159.61,38
PLC00004429,Health,121.36,12
PLC00005232,Mobile,6.85,117
PLC00003251,Motor,120.59,72
PLC00007627,Mobile,8.87,41
PLC00001137,Property,122.21,11
PLC00002409,Property,139.84,32
PLC00008480,Life,60.84,31
PLC00002712,Life,65.77,16
PLC00009855,Life,67.08,75
PLC00008190,Life,86.65,119
PLC00008441,Travel,64.05,25
PLC00009328,Property,112.37,40
PLC00009451,Life,66.34,21
PLC00009777,Life,76.89,18
PLC00007746,Health,159.04,44
PLC00004014,Mobile,8.29,94
PLC00002694,Life,93.98,53
PLC00004938,Life,96.02,18
PLC00003800,Property,139.31,15
PLC00005830,Life,78.12,80
PLC00004075,Mobile,11.72,105
PLC00001362,Mobile,7.5,93
PLC00002709,Property,148.07,97
PLC00008416,Motor,123.84,32
PLC00000663,Life,98.53,34
PLC00001149,Property,143.27,52
PLC00008617,Health,155.22,53
PLC00008902,Motor,135.17,49
PLC00008963,Travel,78.82,89
PLC00004469,Property,100.53,67
PLC00009660,Mobile,6.53,116
PLC00005794,Motor,101.2,102
PLC00004804,Motor,77.22,50
PLC00006540,Travel,88.0,117
PLC00009217,Health,179.41,15
PLC00001808,Property,89.32,109
PLC00000100,Mobile,11.94,56
PLC00008700,Life,99.02,28
PLC00008553,Health,160.11,26
PLC00006792,Property,85.13,34
PLC00006281,Property,98.17,54
PLC00006851,Mobile,11.12,49
PLC00000904,Travel,67.13,85
PLC00005367,Mobile,7.08,49
PLC00004013,Property,110.82,16
PLC00005266,Health,160.06,8
PLC00000304,Motor,113.73,56
PLC00008288,Motor,107.01,72
PLC00000276,Health,198.91,107
PLC00006531,Property,88.94,9
PLC00003776,Property,133.76,95
PLC00009539,Mobile,9.46,50
PLC00004814,Health,101.26,19
PLC00009097,Mobile,11.34,51
PLC00004118,Mobile,7.59,86
PLC00003042,Motor,88.43,26
PLC00002469,Motor,137.41,79
PLC00009365,Property,84.42,18
PLC00000749,Property,143.64,73
PLC00004817,Mobile,9.44,34
PLC00005226,Health,120.89,39
PLC00007893,Motor,130.79,43
PLC00003022,Mobile,7.39,74
PLC00003979,Motor,122.09,42
PLC00003378,Motor,78.02,53
PLC00008630,Mobile,9.06,8
PLC00008434,Mobile,7.04,84
PLC00007260,Health,179.65,102
PLC00003230,Mobile,11.57,119
PLC00004681,Health,120.05,79
PLC00002545,Travel,69.6,112
PLC00005912,Property,108.01,58
PLC00001731,Travel,56.21,95
PLC00003854,Travel,62.56,102
PLC00007130,Property,124.93,58
PLC00004135,Travel,57.08,107
PLC00008494,Life,69.56,89
PLC00004436,Mobile,10.19,57
PLC00008513,Health,131.5,9
PLC00005451,Health,137.66,69
PLC00000899,Travel,73.81,22
PLC00002501,Mobile,8.78,13
PLC00009632,Life,80.3,77
PLC00008836,Travel,51.04,70
PLC00005343,Property,117.39,38
PLC00000923,Property,150.55,84
PLC00007485,Property,128.67,32
PLC00009397,Motor,78.5,27
PLC00008300,Life,95.54,100
PLC00000866,Motor,70.76,36
PLC00005117,Health,178.29,48
PLC00007230,Health,164.63,31
PLC00002786,Motor,102.46,8
PLC00009184,Travel,63.22,81
PLC00002522,Mobile,6.77,97
PLC00008564,Health,171.01,67
PLC00003428,Life,61.62,91
PLC00009207,Motor,135.85,36
PLC00003339,Property,104.98,10
PLC00008939,Life,69.1,101
PLC00009497,Mobile,6.52,38
PLC00000842,Life,95.57,100
PLC00003698,Health,161.0,117
PLC00005821,Property,150.77,109
PLC00009710,Life,98.24,50
PLC00003671,Travel,89.73,109
PLC00007698,Health,156.22,75
PLC00002809,Mobile,11.79,43
PLC00002148,Travel,69.81,42
PLC00002720,Life,79.9,52
PLC00006120,Mobile,8.54,75
PLC00008600,Mobile,6.82,80
PLC00000307,Life,91.57,97
PLC00007654,Motor,132.64,85
PLC00006130,Health,101.24,102
PLC00001807,Travel,70.51,98
PLC00005147,Motor,100.66,44
PLC00007724,Life,73.58,67
PLC00007632,Travel,89.3,46
PLC00001965,Health,112.05,33
PLC00003612,Motor,73.72,87
PLC00008986,Health,173.22,38
PLC00001086,Life,96.98,83
PLC00003436,Travel,91.5,78
PLC00004998,Property,153.49,12
PLC00003731,Property,131.64,68
PLC00009945,Motor,77.32,81
PLC00001429,Mobile,6.28,75
PLC00008901,Travel,69.65,73
PLC00009211,Travel,93.94,49
PLC00005826,Property,142.79,87
PLC00003855,Mobile,7.86,96
PLC00000054,Health,107.45,75
PLC00004905,Travel,90.13,57
PLC00008223,Travel,62.59,102
PLC00003505,Health,139.7,82
PLC00005963,Health,120.97,97
PLC00000779,Motor,79.4,88
PLC00005221,Property,130.07,11
PLC00009138,Life,58.07,92
PLC00003639,Health,102.54,74
PLC00004175,Travel,75.57,51
PLC00007688,Travel,98.91,84
PLC00002583,Mobile,8.72,20
PLC00008297,Life,56.92,8
PLC00005311,Property,102.27,23
PLC00007399,Life,61.71,67
PLC00001577,Property,145.77,90
PLC00009002,Life,91.21,65
PLC00006240,Health,179.36,68
PLC00009591,Property,85.07,36
PLC00008762,Motor,75.04,94
PLC00009449,Mobile,8.11,28
PLC00007847,Life,52.67,34
PLC00006698,Health,160.86,68
PLC00002799,Life,84.46,37
PLC00005499,Mobile,8.46,116
PLC00000163,Travel,89.57,27
PLC00008371,Motor,88.62,97
PLC00005885,Property,117.57,15
PLC00009742,Life,80.59,100
PLC00002486,Travel,71.17,70
PLC00007963,Motor,84.63,66
PLC00007304,Motor,79.2,71
PLC00009441,Property,109.15,81
PLC00002873,Motor,98.66,82
PLC00005793,Life,73.37,104
PLC00008605,Mobile,11.16,96
PLC00002128,Travel,96.7,83
PLC00005489,Health,189.64,107
PLC00004477,Mobile,8.16,60
PLC00007237,Mobile,9.71,90
PLC00003311,Motor,89.25,105
PLC00008170,Property,93.07,16
PLC00001073,Property,119.06,23
PLC00002995,Mobile,9.3,99
PLC00001425,Health,136.21,46
PLC00000794,Motor,87.59,46
PLC00000226,Travel,80.0,49
PLC00006755,Mobile,10.41,17
PLC00000558,Motor,119.31,8
PLC00005966,Motor,132.97,56
PLC00007112,Health,153.8,60
PLC00002952,Health,148.41,55
PLC00002971,Mobile,9.48,108
PLC00002303,Travel,89.61,97
PLC00000208,Travel,86.61,119
PLC00007402,Travel,57.39,117
PLC00005645,Motor,111.49,79
PLC00003279,Health,170.43,110
PLC00001145,Travel,70.9,77
PLC00006615,Mobile,10.64,55
PLC00004922,Mobile,7.83,61
PLC00006001,Mobile,10.06,72
PLC00005651,Motor,81.98,12
PLC00001205,Property,124.38,50
PLC00003156,Life,71.43,70
PLC00008576,Mobile,11.16,71
PLC00006018,Travel,52.56,53
PLC00005535,Travel,54.18,118
PLC00003410,Travel,65.25,80
PLC00002669,Mobile,9.86,75
PLC00004849,Mobile,6.55,31
PLC00009135,Mobile,8.89,78
PLC00006351,Motor,93.6,12
PLC00009600,Travel,98.96,80
PLC00005189,Mobile,10.99,83
PLC00007836,Motor,87.2,91
PLC00009852,Health,160.91,20
PLC00006356,Travel,98.89,51
PLC00006470,Motor,132.77,34
PLC00000975,Property,81.55,75
PLC00001516,Property,138.46,100
PLC00008253,Property,92.4,72
PLC00008110,Property,95.75,17
PLC00005263,Property,144.13,77
PLC00009884,Health,120.55,37
PLC00002566,Property,116.64,96
PLC00005010,Motor,138.76,21
PLC00009965,Motor,138.68,26
PLC00004004,Motor,126.07,21
PLC00006616,Health,105.73,78
PLC00005008,Motor,101.46,52
PLC00000045,Health,152.33,64
PLC00009045,Property,134.55,70
PLC00005776,Health,131.59,55
PLC00008761,Motor,87.28,26
PLC00007136,Motor,134.56,89
PLC00008193,Motor,93.52,7
PLC00009733,Mobile,8.3,80
PLC00006033,Mobile,7.13,92
PLC00007935,Property,80.49,112
PLC00005505,Life,84.86,92
PLC00005831,Property,153.38,119
PLC00008452,Travel,67.38,58
PLC00003231,Health,125.32,78
PLC00007818,Health,128.28,9
PLC00002823,Property,110.19,54
PLC00008532,Life,56.14,64
PLC00000501,Mobile,8.73,14
PLC00007183,Life,73.85,16
PLC00001659,Life,86.01,83
PLC00003585,Motor,85.14,88
PLC00008074,Property,145.99,33
PLC00000149,Life,81.26,42
PLC00005079,Life,82.47,91
PLC00001543,Health,129.33,31
PLC00001111,Motor,124.21,8
PLC00007909,Motor,125.33,82
PLC00006644,Mobile,8.75,19
PLC00006332,Mobile,10.03,37
PLC00007463,Mobile,11.9,6
PLC00003165,Property,81.88,79
PLC00003457,Life,64.85,6
PLC00008231,Property,120.88,11
PLC00004519,Property,144.47,45
PLC00008873,Health,106.43,26
PLC00005431,Motor,129.41,48
PLC00001576,Property,102.85,29
PLC00005710,Life,52.39,107
PLC00002280,Property,107.32,86
PLC00007378,Mobile,8.01,64
PLC00002060,Mobile,6.8,90
PLC00004654,Health,142.29,18
PLC00005055,Health,108.85,112
PLC00001118,Property,106.55,117
PLC00000322,Health,161.37,14
PLC00004264,Mobile,7.04,11
PLC00003887,Property,99.38,65
PLC00003680,Mobile,7.89,13
PLC00008352,Motor,119.02,55
PLC00004592,Health,102.29,36
PLC00009264,Mobile,11.39,89
PLC00000878,Property,140.29,30
PLC00006915,Mobile,10.39,109
PLC00003547,Property,102.63,75
PLC00006717,Motor,76.1,87
PLC00006381,Property,100.95,62
PLC00007791,Motor,110.84,86
PLC00003021,Motor,95.22,7
PLC00002279,Property,133.56,12
PLC00008241,Health,110.65,13
PLC00008342,Life,64.06,47
PLC00004182,Property,89.43,94
PLC00000851,Travel,52.67,118
PLC00006255,Property,120.07,56
PLC00005372,Life,52.96,86
PLC00007203,Property,84.73,41
PLC00002604,Health,127.0,71
PLC00007276,Property,85.69,82
PLC00007188,Life,82.93,52
PLC00007470,Property,132.43,117
PLC00001391,Health,137.9,99
PLC00007848,Motor,123.65,78
PLC00005442,Motor,109.39,6
PLC00003158,Travel,82.83,110
PLC00007330,Travel,72.09,90
PLC00005317,Life,57.05,70
PLC00003750,Life,60.4,71
PLC00000140,Travel,87.69,74
PLC00009376,Motor,115.17,87
PLC00000872,Property,90.12,108
PLC00009279,Mobile,10.42,17
PLC00000152,Health,144.04,55
PLC00006457,Property,115.48,36
PLC00008862,Life,78.47,111
PLC00004578,Mobile,11.18,98
PLC00004540,Property,116.18,19
PLC00001885,Motor,117.74,11
PLC00008997,Life,65.44,101
PLC00007590,Life,62.93,23
PLC00008347,Health,159.82,110
PLC00005847,Mobile,8.82,78
PLC00008925,Mobile,7.12,100
PLC00003817,Travel,71.98,97
PLC00008016,Life,97.44,25
PLC00008543,Mobile,8.79,21
PLC00005378,Mobile,10.61,8
PLC00009324,Travel,98.48,49
PLC00007227,Motor,103.2,30
PLC00008795,Health,174.06,43
PLC00004769,Travel,65.78,83
PLC00006832,Life,83.16,15
PLC00005588,Life,89.44,80
PLC00002637,Health,127.24,98
PLC00007175,Motor,95.48,13
PLC00003908,Life,81.48,62
PLC00001049,Health,143.03,19
PLC00001725,Travel,91.95,56
PLC00000424,Travel,76.47,13
PLC00007474,Property,152.46,19
PLC00000799,Motor,96.64,42
PLC00009648,Health,136.22,94
PLC00000431,Health,171.78,23
PLC00008194,Mobile,11.85,50
PLC00001228,Motor,94.43,72
PLC00003258,Mobile,7.32,67
PLC00007844,Property,93.36,89
PLC00005141,Mobile,8.09,86
PLC00009467,Property,143.37,87
PLC00000274,Life,81.5,89
PLC00003093,Motor,116.99,88
PLC00000801,Life,82.05,75
PLC00007172,Life,65.96,75
PLC00000590,Property,133.31,34
PLC00004019,Property,145.21,39
PLC00001368,Life,67.95,25
PLC00002162,Property,146.33,64
PLC00002048,Mobile,8.79,92
PLC00001935,Health,194.87,99
PLC00002248,Property,159.0,45
PLC00006871,Property,158.16,119
PLC00006657,Travel,92.8,52
PLC00001411,Life,77.17,119
PLC00007965,Mobile,8.51,16
PLC00002080,Mobile,8.6,82
PLC00005893,Motor,91.97,38
PLC00007088,Travel,83.47,115
PLC00007465,Travel,79.44,59
PLC00001940,Mobile,8.23,54
PLC00000144,Health,174.84,9
PLC00000693,Motor,84.96,62
PLC00006953,Health,188.44,69
PLC00001726,Life,93.81,15
PLC00007419,Motor,95.53,56
PLC00009294,Property,87.56,94
PLC00002932,Mobile,8.8,96
PLC00008112,Life,80.21,54
PLC00008103,Health,194.54,98
PLC00008851,Motor,95.85,94
PLC00003561,Motor,112.77,53
PLC00000848,Property,132.54,7
PLC00006667,Mobile,6.8,28
PLC00007347,Motor,94.61,58
PLC00005560,Property,129.9,55
PLC00001572,Health,141.15,80
PLC00002883,Property,130.33,116
PLC00005849,Property,92.96,116
PLC00003848,Mobile,7.12,73
PLC00001706,Property,104.26,49
PLC00003199,Mobile,7.89,17
PLC00008973,Health,123.72,20
PLC00001836,Mobile,10.51,46
PLC00001428,Motor,104.57,103
PLC00000703,Motor,132.26,35
PLC00009946,Motor,73.05,118
PLC00002698,Life,65.34,118
PLC00005190,Mobile,6.08,88
PLC00002320,Motor,76.06,42
PLC00002859,Travel,69.57,94
PLC00008684,Travel,81.22,29
PLC00004392,Mobile,6.8,21
PLC00003478,Health,176.42,113
PLC00009199,Travel,59.42,71
PLC00006891,Health,191.86,42
PLC00003444,Mobile,7.63,27
PLC00006777,Health,136.53,65
PLC00000966,Property,90.42,49
PLC00009897,Property,99.23,11
PLC00000548,Mobile,10.42,83
PLC00009246,Mobile,6.6,31
PLC00004266,Life,51.88,75
PLC00004489,Life,66.83,10
PLC00000591,Life,85.51,107
PLC00005371,Life,71.18,116
PLC00005658,Travel,88.63,84
PLC00000533,Motor,92.26,119
PLC00004132,Health,114.11,107
PLC00000948,Property,104.05,114
PLC00000847,Health,111.17,55
PLC00001326,Property,152.91,76
PLC00005518,Travel,79.64,8
PLC00006062,Mobile,8.95,42
PLC00003792,Motor,94.53,108
PLC00003040,Life,93.84,84
PLC00003482,Mobile,8.43,8
PLC00003984,Life,87.54,31
PLC00008247,Health,193.99,77
PLC00008890,Travel,58.6,56
PLC00006284,Mobile,11.54,23
PLC00003215,Motor,102.83,81
PLC00004065,Health,153.52,53
PLC00002750,Mobile,7.09,56
PLC00008392,Travel,70.9,114
PLC00007966,Health,105.13,105
PLC00005041,Life,73.6,91
PLC00008468,Health,157.13,89
PLC00003892,Life,89.74,67
PLC00007681,Mobile,9.89,47
PLC00000592,Health,161.16,26
PLC00007672,Mobile,6.24,92
PLC00002500,Motor,122.61,71
PLC00009904,Travel,64.66,48
PLC00006451,Mobile,6.69,50
PLC00006588,Motor,116.92,94
PLC00007215,Health,157.77,21
PLC00001887,Health,132.26,112
PLC00004055,Property,91.04,84
PLC00000973,Health,117.02,37
PLC00005316,Property,108.04,62
PLC00004396,Motor,105.23,29
PLC00003019,Property,116.41,40
PLC00000053,Health,162.97,92
PLC00004778,Health,196.29,44
PLC00008948,Motor,85.0,55
PLC00001914,Property,156.96,78
PLC00000335,Travel,80.2,72
PLC00009944,Travel,79.42,43
PLC00007499,Mobile,8.07,83
PLC00008952,Motor,83.65,77
PLC00009344,Life,79.85,61
PLC00009919,Life,93.03,100
PLC00007657,Travel,71.29,119
PLC00001199,Property,89.76,42
PLC00001674,Motor,113.33,6
PLC00002531,Health,194.08,110
PLC00009108,Travel,65.04,63
PLC00009705,Health,183.91,70
PLC00007840,Travel,69.11,107
PLC00001252,Life,80.55,104
PLC00008020,Property,126.01,21
PLC00007151,Motor,85.6,80
PLC00002495,Mobile,11.18,116
PLC00000459,Property,121.54,108
PLC00008450,Health,156.2,82
PLC00001660,Life,85.07,80
PLC00009107,Health,189.77,33
PLC00006867,Life,72.61,40
PLC00009840,Health,195.36,75
PLC00002714,Property,123.94,11
PLC00007719,Life,92.01,81
PLC00007765,Property,87.37,76
PLC00005541,Motor,116.83,69
PLC00008822,Mobile,7.8,119
PLC00002182,Life,77.06,91
PLC00001016,Life,69.72,29
PLC00001954,Life,79.61,114
PLC00009746,Life,77.65,75
PLC00004764,Life,96.95,19
PLC00008349,Property,124.37,19
PLC00005688,Travel,68.03,84
PLC00006812,Life,74.19,30
PLC00009874,Property,109.24,97
PLC00003082,Life,60.69,73
PLC00003043,Travel,87.21,44
PLC00005135,Life,81.91,112
PLC00001063,Travel,60.69,51
PLC00008621,Life,83.71,84
PLC00001330,Health,119.4,93
PLC00007952,Travel,71.58,9
PLC00009685,Mobile,11.02,17
PLC00009754,Mobile,7.87,86
PLC00003271,Property,140.72,93
PLC00008527,Property,133.52,52
PLC00006879,Mobile,8.38,119
PLC00001933,Motor,134.59,95
PLC00001575,Motor,123.86,42
PLC00005839,Travel,93.59,102
PLC00009873,Health,179.86,81
PLC00007778,Property,82.63,75
PLC00006361,Mobile,11.55,33
PLC00002167,Mobile,9.12,25
PLC00002088,Mobile,9.24,68
PLC00006973,Life,50.26,90
PLC00004658,Mobile,11.72,15
PLC00005299,Motor,122.58,58
PLC00008289,Mobile,7.6,109
PLC00007915,Life,81.45,49
PLC00004355,Motor,137.71,64
PLC00007142,Motor,73.93,116
PLC00003196,Travel,89.14,77
PLC00005884,Life,70.75,108
PLC00009071,Health,109.52,113
PLC00007344,Life,94.17,47
PLC00005986,Health,122.48,50
PLC00009492,Property,142.35,90
PLC00001406,Mobile,7.5,61
PLC00007949,Health,130.34,83
PLC00005161,Health,113.45,40
PLC00000786,Property,153.04,81
PLC00006419,Motor,78.65,14
PLC00004772,Mobile,6.97,74
PLC00007822,Health,130.06,9
PLC00002949,Life,99.13,22
PLC00009319,Health,134.51,118
PLC00008857,Health,165.54,113
PLC00006160,Motor,101.72,65
PLC00005579,Property,107.29,18
PLC00008503,Life,90.35,8
PLC00009410,Travel,90.17,105
PLC00008147,Mobile,10.36,102
PLC00009554,Property,113.68,111
PLC00005031,Mobile,9.4,119
PLC00005103,Motor,117.8,27
PLC00000481,Health,118.26,33
PLC00000932,Health,199.63,47
PLC00002731,Mobile,6.14,58
PLC00001991,Property,143.83,58
PLC00003654,Travel,52.14,14
PLC00001210,Property,89.59,75
PLC00008135,Health,164.76,113
PLC00001588,Motor,134.53,50
PLC00006004,Property,98.72,99
PLC00000496,Life,59.45,96
PLC00008106,Life,75.27,10
PLC00004625,Travel,81.52,85
PLC00007494,Health,151.55,12
PLC00006109,Motor,100.99,58
PLC00006905,Mobile,9.32,73
PLC00000288,Mobile,6.58,90
PLC00004553,Property,113.03,55
PLC00001419,Life,73.47,115
PLC00003702,Property,134.29,75
PLC00008368,Mobile,7.94,38
PLC00007325,Health,191.89,42
PLC00007487,Property,121.2,61
PLC00001432,Travel,63.97,28
PLC00005347,Mobile,11.54,57
PLC00005520,Mobile,10.92,51
PLC00009421,Travel,80.74,16
PLC00003688,Motor,96.52,111
PLC00002876,Mobile,6.58,102
PLC00009158,Mobile,10.09,37
PLC00008807,Life,66.35,101
PLC00004832,Motor,129.63,78
PLC00004897,Mobile,6.81,21
PLC00000929,Life,60.09,40
PLC00002336,Property,152.27,108
