TRANSACTION_ID,CUSTOMER_ID,POLICY_NUMBER,AGENT_ID,VENDOR_ID,TXN_DATE_TIME,LOSS_DT,REPORT_DT,CLAIM_AMOUNT,CLAIM_STATUS,INCIDENT_SEVERITY,AUTHORITY_CONTACTED,ANY_INJURY,POLICE_REPORT_AVAILABLE,INCIDENT_STATE,INCIDENT_CITY,INCIDENT_HOUR_OF_THE_DAY,fraud_indicator,risk_level
TXN00000162,A00009530,PLC00009483,AGENT00568,,2020-06-06T00:00:00.000Z,2020-05-18,2020-05-23,1000.0,D,Minor Loss,None,1,0,MD,Severn,19,0,Low
TXN00000166,A00001756,PLC00004862,AGENT00427,VNDR00153,2020-06-06T00:00:00.000Z,2020-05-23,2020-05-28,1000.0,A,Minor Loss,Ambulance,0,1,MA,Palmer,6,0,Low
TXN00000170,A00000190,PLC00005198,AGENT00038,,2020-06-06T00:00:00.000Z,2020-05-26,2020-05-31,17000.0,A,Minor Loss,None,1,1,AZ,Glendale,22,0,Medium
TXN00000193,A00009398,PLC00006530,AGENT00385,,2020-06-07T00:00:00.000Z,2020-06-02,2020-06-03,5000.0,A,Total Loss,Police,1,1,CO,Arvada,23,0,Low
TXN00000201,A00002575,PLC00001002,AGENT01072,,2020-06-07T00:00:00.000Z,2020-05-27,2020-06-01,2000.0,A,Total Loss,Police,1,0,GA,Savannah,18,0,Low
TXN00000205,A00006492,PLC00000413,AGENT00788,VNDR00540,2020-06-07T00:00:00.000Z,2020-05-28,2020-05-31,400.0,A,Minor Loss,Police,1,0,TN,Nashville,20,0,Low
TXN00000208,A00005638,PLC00001314,AGENT00688,VNDR00003,2020-06-08T00:00:00.000Z,2020-05-31,2020-06-03,2000.0,A,Major Loss,None,1,1,FL,Mexico Beach,20,0,Low
TXN00000215,A00001870,PLC00005359,AGENT00711,,2020-06-08T00:00:00.000Z,2020-05-21,2020-05-26,17000.0,D,Major Loss,Police,0,0,CA,Oakland,14,0,Medium
TXN00000235,A00007605,PLC00008431,AGENT00660,,2020-06-09T00:00:00.000Z,2020-05-24,2020-05-29,2000.0,A,Major Loss,Ambulance,0,1,CO,Arvada,19,0,Low
TXN00000237,A00000787,PLC00003712,AGENT00636,VNDR00543,2020-06-09T00:00:00.000Z,2020-05-29,2020-06-03,700.0,A,Total Loss,Ambulance,1,0,VT,Montpelier,11,0,Low
TXN00000287,A00007633,PLC00003257,AGENT01124,VNDR00468,2020-06-11T00:00:00.000Z,2020-05-27,2020-06-01,60000.0,A,Total Loss,Police,0,0,KY,Louisville,12,1,High
TXN00000309,A00000282,PLC00003414,AGENT00921,VNDR00513,2020-06-12T00:00:00.000Z,2020-05-26,2020-05-31,4000.0,A,Major Loss,Police,1,1,AK,Anchorage,15,0,Low
TXN00000316,A00002050,PLC00002541,AGENT01138,VNDR00301,2020-06-12T00:00:00.000Z,2020-05-28,2020-06-02,17000.0,A,Major Loss,Police,1,1,DC,Washington,0,0,Medium
TXN00000387,A00008409,PLC00000665,AGENT00396,VNDR00500,2020-06-15T00:00:00.000Z,2020-06-13,2020-06-13,32000.0,A,Major Loss,Ambulance,0,1,TN,Nashville,3,0,Medium
TXN00000393,A00001464,PLC00000881,AGENT00231,VNDR00373,2020-06-15T00:00:00.000Z,2020-05-29,2020-06-03,26000.0,A,Major Loss,Police,1,0,CA,Fremont,6,0,Medium
TXN00000419,A00008325,PLC00007279,AGENT00313,VNDR00275,2020-06-16T00:00:00.000Z,2020-06-15,2020-06-15,74000.0,A,Minor Loss,None,1,0,MD,Pasadena,16,1,High
TXN00000425,A00001501,PLC00007172,AGENT00875,,2020-06-17T00:00:00.000Z,2020-06-12,2020-06-13,99000.0,A,Total Loss,Police,1,1,TN,Nashville,8,0,High
TXN00000452,A00000545,PLC00002749,AGENT01187,VNDR00479,2020-06-17T00:00:00.000Z,2020-06-03,2020-06-08,4000.0,D,Total Loss,None,0,0,OK,Oklahoma City,5,1,Low
TXN00000467,A00003475,PLC00000664,AGENT00334,VNDR00524,2020-06-18T00:00:00.000Z,2020-06-14,2020-06-15,35000.0,A,Minor Loss,Police,0,0,DC,Washington,21,1,High
TXN00000468,A00008191,PLC00000172,AGENT00768,VNDR00150,2020-06-18T00:00:00.000Z,2020-06-17,2020-06-17,4000.0,A,Total Loss,Ambulance,1,1,OK,Oklahoma City,22,0,Low
TXN00000481,A00000323,PLC00009968,AGENT00798,VNDR00151,2020-06-19T00:00:00.000Z,2020-06-12,2020-06-14,18000.0,A,Total Loss,Ambulance,1,1,AR,Fayetteville,20,0,Medium
TXN00000488,A00004469,PLC00008088,AGENT00668,VNDR00457,2020-06-19T00:00:00.000Z,2020-06-11,2020-06-14,22000.0,A,Minor Loss,None,1,1,DC,Washington,4,0,Medium
TXN00000511,A00008256,PLC00003069,AGENT00333,VNDR00319,2020-06-20T00:00:00.000Z,2020-06-10,2020-06-13,3000.0,A,Minor Loss,None,1,0,OK,Oklahoma City,10,0,Low
TXN00000565,A00007714,PLC00001461,AGENT00283,VNDR00410,2020-06-22T00:00:00.000Z,2020-06-10,2020-06-15,600.0,A,Total Loss,Ambulance,1,1,VT,Weathersfield,22,0,Low
TXN00000572,A00003279,PLC00006415,AGENT00724,VNDR00564,2020-06-22T00:00:00.000Z,2020-06-04,2020-06-09,1000.0,A,Total Loss,Police,1,1,KY,Louisville,2,0,Low
TXN00000576,A00005229,PLC00000590,AGENT00968,,2020-06-22T00:00:00.000Z,2020-06-19,2020-06-19,32000.0,A,Total Loss,Police,1,0,FL,Port Charlotte,13,0,Medium
TXN00000579,A00003684,PLC00005498,AGENT00412,VNDR00177,2020-06-22T00:00:00.000Z,2020-06-04,2020-06-09,200.0,A,Minor Loss,Ambulance,1,0,KY,Louisville,14,0,Low
TXN00000601,A00005998,PLC00008775,AGENT00839,,2020-06-23T00:00:00.000Z,2020-06-15,2020-06-18,7000.0,A,Major Loss,None,1,1,AL,Montgomery,12,0,Low
TXN00000604,A00007259,PLC00009795,AGENT00740,VNDR00437,2020-06-23T00:00:00.000Z,2020-06-08,2020-06-13,2000.0,A,Total Loss,Police,1,1,AR,Fayetteville,6,0,Low
TXN00000617,A00000330,PLC00009089,AGENT00515,,2020-06-24T00:00:00.000Z,2020-06-10,2020-06-15,33000.0,A,Total Loss,None,0,0,AR,Fayetteville,14,1,Medium
TXN00000645,A00009555,PLC00002041,AGENT00490,,2020-06-25T00:00:00.000Z,2020-06-20,2020-06-21,100.0,A,Major Loss,Police,1,1,CT,Manchester,4,0,Low
TXN00000667,A00002380,PLC00006896,AGENT01127,VNDR00094,2020-06-26T00:00:00.000Z,2020-06-06,2020-06-11,91000.0,A,Total Loss,Police,0,1,CA,Fresno,14,1,High
TXN00000721,A00003162,PLC00004005,AGENT00920,VNDR00187,2020-06-28T00:00:00.000Z,2020-06-10,2020-06-15,3000.0,A,Minor Loss,Police,1,0,CA,Alameda,6,0,Low
TXN00000729,A00004400,PLC00004716,AGENT00265,,2020-06-29T00:00:00.000Z,2020-06-13,2020-06-18,7000.0,A,Major Loss,Ambulance,1,1,GA,Savannah,15,0,Low
TXN00000735,A00008548,PLC00008967,AGENT01102,VNDR00177,2020-06-29T00:00:00.000Z,2020-06-20,2020-06-23,5000.0,A,Major Loss,None,1,1,FL,Panama City,20,0,Low
TXN00000738,A00009315,PLC00005748,AGENT00890,,2020-06-29T00:00:00.000Z,2020-06-21,2020-06-24,1000.0,A,Major Loss,Police,0,1,CA,Bakersfield,9,0,Low
TXN00000752,A00000842,PLC00005620,AGENT01109,,2020-06-30T00:00:00.000Z,2020-06-23,2020-06-25,400.0,A,Total Loss,None,1,1,CO,Arvada,2,0,Low
TXN00000761,A00007201,PLC00003282,AGENT00292,VNDR00350,2020-06-30T00:00:00.000Z,2020-06-12,2020-06-17,300.0,A,Total Loss,Ambulance,1,0,CT,Manchester,8,0,Low
TXN00000765,A00006773,PLC00003527,AGENT00794,VNDR00077,2020-06-30T00:00:00.000Z,2020-06-20,2020-06-23,5000.0,A,Major Loss,Ambulance,1,1,DC,Washington,4,0,Low
TXN00000797,A00006863,PLC00005965,AGENT00647,,2020-07-02T00:00:00.000Z,2020-06-21,2020-06-26,4000.0,A,Total Loss,Police,1,1,CA,Alameda,23,0,Low
TXN00000801,A00008809,PLC00002973,AGENT00396,,2020-07-02T00:00:00.000Z,2020-06-22,2020-06-25,43000.0,A,Major Loss,Other,0,0,CA,Piedmont,13,1,High
TXN00000808,A00004577,PLC00008675,AGENT00167,VNDR00154,2020-07-02T00:00:00.000Z,2020-06-13,2020-06-18,1000.0,A,Major Loss,None,1,1,CT,Manchester,15,0,Low
TXN00000812,A00006229,PLC00001223,AGENT00697,VNDR00430,2020-07-02T00:00:00.000Z,2020-06-19,2020-06-24,100.0,A,Minor Loss,None,1,1,CA,Oakland,4,0,Low
TXN00000824,A00006634,PLC00004019,AGENT00274,VNDR00277,2020-07-03T00:00:00.000Z,2020-06-18,2020-06-23,24000.0,A,Major Loss,Ambulance,0,1,CO,Arvada,0,0,Medium
TXN00000858,A00007097,PLC00002228,AGENT00319,,2020-07-05T00:00:00.000Z,2020-06-20,2020-06-25,300.0,A,Minor Loss,Ambulance,1,1,FL,Panama City Beach,17,0,Low
TXN00000874,A00002701,PLC00000946,AGENT01140,,2020-07-05T00:00:00.000Z,2020-06-16,2020-06-21,12000.0,A,Minor Loss,None,1,0,CA,Livermore,4,0,Low
TXN00000876,A00001147,PLC00001368,AGENT00123,VNDR00305,2020-07-05T00:00:00.000Z,2020-06-15,2020-06-20,14000.0,A,Major Loss,Ambulance,1,1,CO,Arvada,19,0,Low
TXN00000912,A00008841,PLC00002162,AGENT00864,,2020-07-07T00:00:00.000Z,2020-07-05,2020-07-05,16000.0,A,Minor Loss,Ambulance,1,0,GA,Savannah,18,0,Low
TXN00000950,A00006354,PLC00001945,AGENT00905,VNDR00549,2020-07-08T00:00:00.000Z,2020-07-04,2020-07-05,10000.0,A,Minor Loss,Ambulance,1,0,KY,Louisville,9,0,Low
TXN00000957,A00003067,PLC00007511,AGENT00150,,2020-07-09T00:00:00.000Z,2020-07-05,2020-07-06,2000.0,A,Minor Loss,Other,1,0,CA,O'Neals,1,0,Low
TXN00000959,A00002425,PLC00006432,AGENT00520,VNDR00244,2020-07-09T00:00:00.000Z,2020-06-29,2020-07-02,18000.0,A,Total Loss,Ambulance,1,1,TN,Nashville,17,0,Medium
TXN00001000,A00007403,PLC00002140,AGENT00089,VNDR00425,2020-07-10T00:00:00.000Z,2020-06-24,2020-06-29,79000.0,A,Major Loss,Ambulance,1,1,OK,Oklahoma City,9,0,High
TXN00001010,A00000067,PLC00009173,AGENT01122,VNDR00226,2020-07-10T00:00:00.000Z,2020-06-25,2020-06-30,3000.0,A,Minor Loss,Ambulance,1,0,KY,Louisville,17,0,Low
TXN00001030,A00006613,PLC00006286,AGENT00363,,2020-07-11T00:00:00.000Z,2020-07-08,2020-07-08,18000.0,A,Minor Loss,Ambulance,0,1,AZ,Glendale,23,0,Medium
TXN00001031,A00009681,PLC00003917,AGENT00967,VNDR00495,2020-07-11T00:00:00.000Z,2020-06-23,2020-06-28,27000.0,A,Total Loss,Other,1,0,FL,Tampa,20,0,Medium
TXN00001051,A00009235,PLC00002254,AGENT00250,VNDR00327,2020-07-12T00:00:00.000Z,2020-07-01,2020-07-06,600.0,A,Total Loss,Police,1,1,CO,Arvada,6,0,Low
TXN00001059,A00000693,PLC00005468,AGENT00007,,2020-07-13T00:00:00.000Z,2020-07-01,2020-07-06,2000.0,A,Total Loss,None,1,0,KY,Louisville,16,0,Low
TXN00001062,A00004440,PLC00005234,AGENT01062,VNDR00229,2020-07-13T00:00:00.000Z,2020-07-10,2020-07-10,1000.0,A,Minor Loss,Other,1,1,CT,Manchester,18,0,Low
TXN00001072,A00000159,PLC00005224,AGENT00062,,2020-07-13T00:00:00.000Z,2020-07-05,2020-07-08,2000.0,A,Major Loss,Police,1,1,AL,Montgomery,20,0,Low
TXN00001094,A00000038,PLC00004047,AGENT00093,VNDR00056,2020-07-14T00:00:00.000Z,2020-07-09,2020-07-10,31000.0,A,Total Loss,Ambulance,0,1,KY,Louisville,20,1,Medium
TXN00001100,A00003302,PLC00002048,AGENT00949,,2020-07-14T00:00:00.000Z,2020-06-29,2020-07-04,500.0,A,Total Loss,Ambulance,1,1,CO,Arvada,20,0,Low
TXN00001138,A00009285,PLC00005671,AGENT00989,VNDR00277,2020-07-15T00:00:00.000Z,2020-07-04,2020-07-09,4000.0,D,Total Loss,Ambulance,0,1,TN,Nashville,18,1,Low
TXN00001144,A00006150,PLC00001935,AGENT00567,VNDR00592,2020-07-16T00:00:00.000Z,2020-06-30,2020-07-05,10000.0,A,Major Loss,Police,1,0,CA,Hayward,18,0,Low
TXN00001149,A00002751,PLC00003084,AGENT00213,VNDR00267,2020-07-16T00:00:00.000Z,2020-06-28,2020-07-03,2000.0,A,Major Loss,Ambulance,1,1,VT,Windham,13,0,Low
TXN00001190,A00006186,PLC00006294,AGENT00581,,2020-07-17T00:00:00.000Z,2020-07-05,2020-07-10,6000.0,A,Minor Loss,Other,0,1,MA,Marblehead,4,0,Low
TXN00001221,A00000059,PLC00004413,AGENT00820,,2020-07-18T00:00:00.000Z,2020-07-06,2020-07-11,51000.0,A,Minor Loss,Ambulance,1,1,AZ,Glendale,13,0,High
TXN00001228,A00001898,PLC00000620,AGENT00066,,2020-07-19T00:00:00.000Z,2020-07-17,2020-07-17,5000.0,A,Major Loss,Ambulance,1,1,CA,Redding,7,0,Low
TXN00001230,A00002062,PLC00006725,AGENT00626,,2020-07-19T00:00:00.000Z,2020-07-14,2020-07-15,9000.0,A,Minor Loss,None,0,1,KY,Louisville,21,0,Low
TXN00001278,A00006660,PLC00002344,AGENT00573,VNDR00260,2020-07-21T00:00:00.000Z,2020-07-07,2020-07-12,2000.0,A,Major Loss,Police,1,1,AL,Montgomery,14,0,Low
TXN00001302,A00003510,PLC00004996,AGENT00547,,2020-07-22T00:00:00.000Z,2020-07-15,2020-07-17,1000.0,A,Major Loss,Ambulance,1,0,TN,Nashville,10,0,Low
TXN00001307,A00008961,PLC00002467,AGENT01019,VNDR00082,2020-07-22T00:00:00.000Z,2020-07-15,2020-07-17,6000.0,A,Total Loss,Police,1,0,CO,Arvada,13,0,Low
TXN00001308,A00000288,PLC00001485,AGENT00192,VNDR00479,2020-07-22T00:00:00.000Z,2020-07-18,2020-07-19,29000.0,A,Total Loss,None,1,1,AL,Montgomery,3,0,Medium
TXN00001325,A00007495,PLC00003516,AGENT00717,,2020-07-23T00:00:00.000Z,2020-07-19,2020-07-20,600.0,A,Major Loss,Ambulance,1,1,OK,Oklahoma City,12,0,Low
TXN00001347,A00000116,PLC00008476,AGENT00656,,2020-07-24T00:00:00.000Z,2020-07-13,2020-07-18,57000.0,A,Total Loss,Police,0,1,CO,Arvada,6,1,High
TXN00001362,A00003771,PLC00007737,AGENT00414,,2020-07-24T00:00:00.000Z,2020-07-09,2020-07-14,26000.0,A,Minor Loss,Ambulance,1,1,AK,Anchorage,10,0,Medium
TXN00001381,A00000375,PLC00007116,AGENT00069,,2020-07-25T00:00:00.000Z,2020-07-09,2020-07-14,9000.0,A,Minor Loss,None,1,1,FL,Panama City,6,0,Low
TXN00001400,A00005144,PLC00006353,AGENT00646,VNDR00183,2020-07-26T00:00:00.000Z,2020-07-22,2020-07-23,7000.0,A,Major Loss,Ambulance,0,0,MD,Deale,15,0,Low
TXN00001409,A00002291,PLC00007331,AGENT00379,VNDR00118,2020-07-26T00:00:00.000Z,2020-07-13,2020-07-18,24000.0,A,Total Loss,Police,1,1,DC,Washington,12,0,Medium
TXN00001411,A00008556,PLC00004016,AGENT01142,VNDR00222,2020-07-26T00:00:00.000Z,2020-07-14,2020-07-19,30000.0,A,Total Loss,Other,1,1,CA,San Leandro,9,0,Medium
TXN00001433,A00009712,PLC00006567,AGENT01150,VNDR00115,2020-07-27T00:00:00.000Z,2020-07-20,2020-07-22,18000.0,A,Minor Loss,Ambulance,1,1,CT,Manchester,0,0,Medium
TXN00001434,A00009599,PLC00005374,AGENT00300,VNDR00066,2020-07-27T00:00:00.000Z,2020-07-26,2020-07-26,600.0,A,Minor Loss,None,0,1,TN,Nashville,6,0,Low
TXN00001439,A00000965,PLC00008689,AGENT00053,VNDR00086,2020-07-27T00:00:00.000Z,2020-07-26,2020-07-26,5000.0,A,Minor Loss,Police,1,0,DC,Washington,5,0,Low
TXN00001443,A00003043,PLC00009068,AGENT00375,VNDR00509,2020-07-27T00:00:00.000Z,2020-07-14,2020-07-19,17000.0,A,Total Loss,None,0,0,TN,Nashville,9,1,Medium
TXN00001455,A00009849,PLC00000623,AGENT00311,,2020-07-28T00:00:00.000Z,2020-07-20,2020-07-23,40000.0,A,Major Loss,Ambulance,1,0,AR,Fayetteville,18,1,High
TXN00001475,A00008145,PLC00007180,AGENT00406,,2020-07-29T00:00:00.000Z,2020-07-14,2020-07-19,300.0,A,Major Loss,Ambulance,1,1,CA,Oakland,1,0,Low
TXN00001480,A00008246,PLC00001402,AGENT00504,,2020-07-29T00:00:00.000Z,2020-07-10,2020-07-15,600.0,A,Total Loss,Ambulance,0,0,VT,Underhill,7,1,Low
TXN00001491,A00000512,PLC00002746,AGENT01163,,2020-07-29T00:00:00.000Z,2020-07-11,2020-07-16,100.0,A,Total Loss,Ambulance,1,1,CA,Castro Valley,11,0,Low
TXN00001499,A00002723,PLC00009927,AGENT00646,VNDR00162,2020-07-30T00:00:00.000Z,2020-07-26,2020-07-27,41000.0,A,Minor Loss,Other,1,1,AK,Anchorage,17,0,High
TXN00001502,A00000213,PLC00005249,AGENT00070,VNDR00361,2020-07-30T00:00:00.000Z,2020-07-29,2020-07-29,6000.0,A,Minor Loss,Ambulance,1,1,GA,Savannah,14,0,Low
TXN00001510,A00000322,PLC00003720,AGENT00318,VNDR00002,2020-07-30T00:00:00.000Z,2020-07-24,2020-07-26,12000.0,A,Total Loss,Ambulance,1,1,TN,Nashville,22,0,Low
TXN00001541,A00004095,PLC00006044,AGENT00834,,2020-08-01T00:00:00.000Z,2020-07-14,2020-07-19,100000.0,A,Minor Loss,Police,1,0,AR,Fayetteville,18,1,High
TXN00001554,A00007187,PLC00007795,AGENT00225,VNDR00076,2020-08-01T00:00:00.000Z,2020-07-12,2020-07-17,12000.0,A,Total Loss,Other,1,1,FL,Panama City,7,0,Low
TXN00001564,A00006979,PLC00005060,AGENT00778,VNDR00373,2020-08-02T00:00:00.000Z,2020-07-26,2020-07-28,8000.0,A,Major Loss,None,1,1,AK,Anchorage,19,0,Low
TXN00001619,A00000894,PLC00002248,AGENT00202,VNDR00040,2020-08-04T00:00:00.000Z,2020-07-27,2020-07-30,25000.0,A,Minor Loss,None,0,1,CT,Manchester,16,0,Medium
TXN00001628,A00001204,PLC00000964,AGENT00979,VNDR00339,2020-08-04T00:00:00.000Z,2020-07-20,2020-07-25,1000.0,A,Minor Loss,Police,1,0,CA,Santa Rosa,12,0,Low
TXN00001642,A00002915,PLC00007070,AGENT00225,,2020-08-05T00:00:00.000Z,2020-07-17,2020-07-22,21000.0,A,Minor Loss,Other,1,0,CA,Eureka,23,0,Medium
TXN00001648,A00003288,PLC00000815,AGENT00903,,2020-08-05T00:00:00.000Z,2020-07-19,2020-07-24,700.0,A,Total Loss,Ambulance,1,1,CO,Arvada,17,0,Low
TXN00001657,A00008170,PLC00002606,AGENT00182,VNDR00018,2020-08-05T00:00:00.000Z,2020-07-29,2020-07-31,500.0,A,Minor Loss,Ambulance,1,1,MD,Severn,18,0,Low
TXN00001710,A00004672,PLC00001367,AGENT00365,VNDR00279,2020-08-08T00:00:00.000Z,2020-07-22,2020-07-27,6000.0,A,Major Loss,None,0,1,VT,Pawlet,17,0,Low
TXN00001732,A00001510,PLC00001931,AGENT01163,VNDR00046,2020-08-09T00:00:00.000Z,2020-08-04,2020-08-05,3000.0,D,Minor Loss,Police,1,0,CT,Manchester,12,0,Low
TXN00001743,A00008615,PLC00009969,AGENT00967,VNDR00161,2020-08-09T00:00:00.000Z,2020-08-05,2020-08-06,100.0,A,Total Loss,Ambulance,0,1,MA,Easton,5,1,Low
TXN00001758,A00005417,PLC00000820,AGENT01125,VNDR00087,2020-08-10T00:00:00.000Z,2020-07-29,2020-08-03,3000.0,A,Major Loss,Ambulance,0,1,CA,Fremont,5,0,Low
TXN00001768,A00004281,PLC00005729,AGENT01185,VNDR00161,2020-08-10T00:00:00.000Z,2020-08-07,2020-08-07,5000.0,A,Total Loss,Ambulance,1,1,CA,Fremont,8,0,Low
TXN00001771,A00004239,PLC00008965,AGENT00814,VNDR00458,2020-08-10T00:00:00.000Z,2020-08-02,2020-08-05,95000.0,A,Total Loss,None,1,1,FL,Panama City,5,0,High
TXN00001780,A00002752,PLC00002525,AGENT00223,VNDR00369,2020-08-11T00:00:00.000Z,2020-07-28,2020-08-02,4000.0,A,Minor Loss,Police,0,1,OK,Oklahoma City,20,0,Low
TXN00001782,A00005567,PLC00006089,AGENT00658,VNDR00529,2020-08-11T00:00:00.000Z,2020-07-30,2020-08-04,55000.0,A,Total Loss,Ambulance,1,1,AR,Fayetteville,4,0,High
TXN00001815,A00006330,PLC00007014,AGENT00754,VNDR00052,2020-08-12T00:00:00.000Z,2020-07-28,2020-08-02,12000.0,A,Minor Loss,Other,0,1,CO,Arvada,23,0,Low
TXN00001888,A00006913,PLC00008752,AGENT00464,,2020-08-15T00:00:00.000Z,2020-08-09,2020-08-11,5000.0,A,Major Loss,Ambulance,1,1,AR,Conway,2,0,Low
TXN00001920,A00005059,PLC00000319,AGENT00305,VNDR00303,2020-08-16T00:00:00.000Z,2020-08-07,2020-08-10,20000.0,A,Minor Loss,None,1,1,OK,Norman,15,0,Medium
TXN00001929,A00002244,PLC00002104,AGENT00267,,2020-08-17T00:00:00.000Z,2020-08-15,2020-08-15,19000.0,A,Minor Loss,Police,1,1,CO,Greeley,17,0,Medium
TXN00001936,A00005485,PLC00005796,AGENT00827,VNDR00392,2020-08-17T00:00:00.000Z,2020-08-09,2020-08-12,13000.0,A,Total Loss,Police,1,1,CA,Hayward,23,0,Low
TXN00001940,A00002017,PLC00002168,AGENT01106,VNDR00167,2020-08-17T00:00:00.000Z,2020-08-07,2020-08-10,500.0,A,Major Loss,Ambulance,1,1,CA,Berkeley,4,0,Low
TXN00001946,A00000106,PLC00000217,AGENT01090,VNDR00414,2020-08-17T00:00:00.000Z,2020-07-31,2020-08-05,300.0,A,Minor Loss,Ambulance,1,0,DC,Washington,15,0,Low
TXN00001947,A00007448,PLC00008234,AGENT00297,VNDR00023,2020-08-17T00:00:00.000Z,2020-08-01,2020-08-06,20000.0,A,Total Loss,Police,0,0,AZ,Glendale,16,1,Medium
TXN00001953,A00000924,PLC00008422,AGENT00991,VNDR00564,2020-08-18T00:00:00.000Z,2020-08-03,2020-08-08,38000.0,A,Total Loss,Police,1,1,CO,Boulder,14,0,High
TXN00001966,A00008710,PLC00008388,AGENT00022,VNDR00358,2020-08-18T00:00:00.000Z,2020-07-30,2020-08-04,200.0,A,Major Loss,Ambulance,1,1,TN,Nashville,19,0,Low
TXN00001968,A00007684,PLC00000116,AGENT01168,,2020-08-19T00:00:00.000Z,2020-08-07,2020-08-12,19000.0,A,Minor Loss,Police,1,1,OK,Del City,15,0,Medium
TXN00001972,A00008362,PLC00008442,AGENT00726,,2020-08-19T00:00:00.000Z,2020-08-18,2020-08-18,600.0,A,Minor Loss,Police,1,0,GA,Pooler,21,0,Low
TXN00002003,A00003312,PLC00001905,AGENT00240,,2020-08-20T00:00:00.000Z,2020-08-17,2020-08-17,9000.0,A,Minor Loss,Police,1,1,CT,Manchester,18,0,Low
TXN00002008,A00000101,PLC00005584,AGENT00847,,2020-08-20T00:00:00.000Z,2020-08-09,2020-08-14,9000.0,A,Minor Loss,Other,1,1,TN,Nashville,17,0,Low
TXN00002032,A00004686,PLC00004304,AGENT00695,VNDR00463,2020-08-21T00:00:00.000Z,2020-08-16,2020-08-17,100.0,A,Major Loss,Police,0,1,FL,Panama City,10,0,Low
TXN00002062,A00002154,PLC00002999,AGENT01019,VNDR00343,2020-08-22T00:00:00.000Z,2020-08-19,2020-08-19,10000.0,A,Total Loss,Other,1,0,DC,Washington,16,0,Low
TXN00002095,A00005710,PLC00007655,AGENT01177,,2020-08-24T00:00:00.000Z,2020-08-16,2020-08-19,11000.0,A,Major Loss,Ambulance,0,0,TN,Nashville,4,0,Low
TXN00002133,A00002052,PLC00008410,AGENT00206,VNDR00506,2020-08-25T00:00:00.000Z,2020-08-19,2020-08-21,200.0,A,Minor Loss,Ambulance,1,1,DC,Washington,4,0,Low
TXN00002134,A00001852,PLC00008330,AGENT00631,,2020-08-25T00:00:00.000Z,2020-08-14,2020-08-19,6000.0,D,Minor Loss,None,1,0,AL,Montgomery,3,0,Low
TXN00002145,A00002624,PLC00008756,AGENT00388,VNDR00025,2020-08-26T00:00:00.000Z,2020-08-25,2020-08-25,600.0,A,Minor Loss,Police,0,1,CA,Oakland,23,0,Low
TXN00002179,A00002158,PLC00000237,AGENT00258,VNDR00407,2020-08-27T00:00:00.000Z,2020-08-25,2020-08-25,17000.0,A,Total Loss,Police,1,1,AR,Farmington,18,0,Medium
